Category 1,Category 2,Category 3,Table Name,Custom Name
Airflow,Boost Control,,c_fac_pow_put_ctl_bol,
Airflow,Boost Control,,c_fac_pow_put_ctl_i_bol,
Airflow,Boost Control,,c_fac_pow_put_ctl_i_inc,
Airflow,Boost Control,,c_fac_pow_put_ctl_i_stnd,
Airflow,Boost Control,,c_fac_pow_put_ctl_i_tol,
Airflow,Boost Control,,c_fac_pow_put_ctl_p_d_stnd,
Airflow,Boost Control,,c_fac_pow_put_ctl_tol,
Airflow,Overboost,,c_put_dif_min_cap_h,
Airflow,Overboost,,ip_prs_up_thr_dif_wide_open_thr,
Airflow,Overboost,,ip_put_amp_dif_max_prs_dif_thr,
Airflow,Overboost,,ip_put_max_cap_h_diag,
Airflow,Port Flaps,,id_port_sp,
Airflow,Port Flaps,,id_port_sp_ch,
Airflow,Port Flaps,,id_port_sp_cmb_ch,
Airflow,Port Flaps,,id_port_sp_gear,
Airflow,Port Flaps,,id_port_sp_gear_opp_1_not,
Airflow,Port Flaps,,id_port_sp_gear_tia,
Airflow,Port Flaps,,id_port_sp_gear_tia_opp_not,
Airflow,Port Flaps,,id_port_sp_opp_1_not,
Airflow,Underboost,,c_pq_cha_sp_min_cap_l_diag,
Airflow,Underboost,,c_put_dif_max_cap_l,
Airflow,Underboost,,ip_n_min_cap_l_bas_diag,
Airflow,Underboost,,ip_n_min_cap_l_diag,
Airflow,Underboost,,ip_put_min_cap_l_diag,
Airflow,,,c_flow_wg_ref,
Airflow,,,c_m_air_cyl_fl,
Airflow,,,c_m_air_cyl_sp_max,
Airflow,,,c_pq_cha_rcl_max,
Airflow,,,c_prs_im_sp_lim,
Airflow,,,c_prs_im_sp_max,
Airflow,,,c_put_dif_thd_leak_diag,
Airflow,,,c_put_dif_thd_prs_dif_up_thr,
Airflow,,,c_put_dif_wg_open_leak_diag,
Airflow,,,ip_fac_maf_cor[0],
Airflow,,,ip_fac_maf_cor[1],
Airflow,,,ip_fac_maf_cor[2],
Airflow,,,ip_fac_maf_cor[3],
Airflow,,,ip_fac_put_sp_bol_atjs,
Airflow,,,ip_fac_put_sp_bol_atjs_4wd,
Airflow,,,ip_m_air_cyl_max_stnd_vvl[0],
Airflow,,,ip_m_air_cyl_max_stnd_vvl[1],
Airflow,,,ip_maf_max_ac_mod_cdn,
Airflow,,,ip_prs_aic_down_max_stnd[0],
Airflow,,,ip_prs_aic_down_max_stnd[1],
Airflow,,,ip_prs_loss_aic_1,
Airflow,,,ip_prs_loss_ico_1,
Airflow,,,ip_put_sp,
Airflow,,,ip_tps_sp_mdl_max,
Airflow,,,lc_put_sp_tol_ena_amp,
Airflow,,,lc_tia_tcha_prot,
Boost Display,,,c_bop_abs_disp_hys_neg,
Boost Display,,,c_bop_abs_disp_hys_pos,
Boost Display,,,c_bop_max_disp,
Boost Display,,,c_bop_min_disp,
Boost Display,,,c_fac_bop_max_disp_put,
Boost Display,,,c_n_min_bop_disp,
Boost Display,,,ip_bop_disp_grd_neg,
Boost Display,,,ip_bop_disp_grd_pos,
Boost Display,,,ip_fac_bop_max_disp,
Camshaft,,,ip_cam_sp_boost_scav_vcp[0],
Camshaft,,,ip_cam_sp_boost_scav_vcp[1],
Camshaft,,,ip_cam_sp_is_ch_vcp[0][0],
Camshaft,,,ip_cam_sp_is_ch_vcp[1][0],
Camshaft,,,ip_cam_sp_is_mplh_ch_vcp[0][0],
Camshaft,,,ip_cam_sp_is_mplh_ch_vcp[1][0],
Camshaft,,,ip_cam_sp_is_vcp[0],
Camshaft,,,ip_cam_sp_is_vcp[1],
Camshaft,,,ip_cam_sp_pl_ch_vcp[0][0],
Camshaft,,,ip_cam_sp_pl_ch_vcp[1][0],
Camshaft,,,ip_cam_sp_pl_mplh_ch_vcp[0][0],
Camshaft,,,ip_cam_sp_pl_mplh_ch_vcp[1][0],
Camshaft,,,ip_cam_sp_scav_vcp[0],
Camshaft,,,ip_cam_sp_scav_vcp[1],
Camshaft,,,ip_cam_sp_vcp[0][0][0],
Camshaft,,,ip_cam_sp_vcp[0][1][0],
Camshaft,,,ip_cam_sp_vcp[1][0][0],
Camshaft,,,ip_cam_sp_vcp[1][1][0],
Camshaft,,,ip_n_grd_max_vlft_1_tip,
Camshaft,,,ip_vlft_sp,
Catalyst Efficiency,,,c_eff_cat_bpu[0],
Catalyst Efficiency,,,c_eff_cat_bpu[1],
Catalyst Efficiency,,,c_eff_cat_max_diag[0],
Catalyst Efficiency,,,c_eff_cat_max_diag[1],
